symbol,raw_symbol,company,sector,sub_industry,country,market_benchmark,sector_benchmark
ROP,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,US,SPY,XLK
ROST,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,US,SPY,XLY
RSG,RSG,Republic Services,Industrials,Environmental & Facilities Services,US,SPY,XLI
RTX,RTX,RTX Corporation,Industrials,Aerospace & Defense,US,SPY,XLI
RVTY,RVTY,Revvity,Health Care,Health Care Equipment,US,SPY,XLV
SATS,SATS,EchoStar,Communication Services,Wireless Telecommunication Services,US,SPY,XLC
SBAC,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,US,SPY,XLRE
SBUX,SBUX,Starbucks,Consumer Discretionary,Restaurants,US,SPY,XLY
SCHW,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,US,SPY,XLF
SHW,SHW,Sherwin-Williams,Materials,Specialty Chemicals,US,SPY,XLB
SJM,SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,US,SPY,XLP
SLB,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,US,SPY,XLE
SMCI,SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",US,SPY,XLK
SNA,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,US,SPY,XLI
SNDK,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",US,SPY,XLK
SNPS,SNPS,Synopsys,Information Technology,Application Software,US,SPY,XLK
SO,SO,Southern Company,Utilities,Electric Utilities,US,SPY,XLU
SOLV,SOLV,Solventum,Health Care,Health Care Technology,US,SPY,XLV
SPG,SPG,Simon Property Group,Real Estate,Retail REITs,US,SPY,XLRE
SPGI,SPGI,S&P Global,Financials,Financial Exchanges & Data,US,SPY,XLF
SRE,SRE,Sempra,Utilities,Multi-Utilities,US,SPY,XLU
STE,STE,Steris,Health Care,Health Care Equipment,US,SPY,XLV
STLD,STLD,Steel Dynamics,Materials,Steel,US,SPY,XLB
STT,STT,State Street Corporation,Financials,Asset Management & Custody Banks,US,SPY,XLF
STX,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",US,SPY,XLK
STZ,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,US,SPY,XLP
SW,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,US,SPY,XLB
SWK,SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,US,SPY,XLI
SWKS,SWKS,Skyworks Solutions,Information Technology,Semiconductors,US,SPY,XLK
SYF,SYF,Synchrony Financial,Financials,Consumer Finance,US,SPY,XLF
SYK,SYK,Stryker Corporation,Health Care,Health Care Equipment,US,SPY,XLV
SYY,SYY,Sysco,Consumer Staples,Food Distributors,US,SPY,XLP
T,T,AT&T,Communication Services,Integrated Telecommunication Services,US,SPY,XLC
TAP,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,US,SPY,XLP
TDG,TDG,TransDigm Group,Industrials,Aerospace & Defense,US,SPY,XLI
TDY,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,US,SPY,XLK
TECH,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,US,SPY,XLV
TEL,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,US,SPY,XLK
TER,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,US,SPY,XLK
TFC,TFC,Truist Financial,Financials,Diversified Banks,US,SPY,XLF
TGT,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,US,SPY,XLP
TJX,TJX,TJX Companies,Consumer Discretionary,Apparel Retail,US,SPY,XLY
TKO,TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,US,SPY,XLC
TMO,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,US,SPY,XLV
TMUS,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,US,SPY,XLC
TPL,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,US,SPY,XLE
TPR,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",US,SPY,XLY
TRGP,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,US,SPY,XLE
TRMB,TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,US,SPY,XLK
TROW,TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,US,SPY,XLF
